fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC331,331,Kaga/Cab_F2,26344,59.4652183908047,0.221533043000245,268.425953913968,2.66272898821237e-49,61.7,1.4,0.26,62.16,2.94,30_1_21,AU,0
KC332,332,Kaga/Cab_F2,26011,62.4823218390804,0.900316210147407,69.4004185805455,6.95806729329827e-33,68.44,4.13,0.77,66.23,5.58,30_1_21,AU,-1
KC333,333,Kaga/Cab_F2,27447,56.4947816091954,0.0792328805566135,713.021932464373,3.52770368754655e-61,60.05,2.03,0.38,59.75,3.77,30_1_21,AU,0
KC334,334,Kaga/Cab_F2,27355,55.9765287356322,0.378531989402053,147.877934501798,4.67607394514387e-42,58.83,1.9,0.35,57.79,1.66,30_1_21,AU,-1
KC335,335,Kaga/Cab_F2,26202,58.8665287356322,0.201297770056615,292.43507625085,2.42073728296733e-50,62.48,2.12,0.39,61.71,2.79,30_1_21,AU,-1
KC336,336,Kaga/Cab_F2,25314,55.007448275862,0.223926991598902,245.649029994523,3.18528729863648e-48,58.77,2.22,0.41,58.09,4.38,30_1_21,AU,-1
KC337,337,Kaga/Cab_F2,28667,59.451632183908,0.223627240958123,265.851476453358,3.48718134763226e-49,60.92,1.02,0.19,60.5,1.73,30_1_21,DB,0
KC338,338,Kaga/Cab_F2,30459,61.7739540229885,0.244156034562188,253.010146293371,1.39400446577969e-48,64.81,1.84,0.34,65.78,3.17,30_1_21,DB,0
KC339,339,Kaga/Cab_F2,28910,56.5865287356322,0.605939483607629,93.3864358842052,1.76974254302821e-36,61.38,3.15,0.59,59.9,4.68,30_1_21,DB,0
KC340,340,Kaga/Cab_F2,23678,66.0795726495727,0.623723197913549,105.94374695477,1.08234150521859e-34,65.34,1.6,0.31,64.72,2.11,30_1_21,DB,0
KC341,341,Kaga/Cab_F2,24249,56.2214022988506,0.582378359384008,96.5375883099725,7.00751629922104e-37,58.58,2.03,0.38,58.99,3.84,30_1_21,DB,0
KC342,342,Kaga/Cab_F2,24285,62.0775632183908,0.144115775559352,430.747869048002,4.73763870468265e-55,66.07,2.3,0.43,65.63,4.14,30_1_21,DB,-1
KC343,343,Kaga/Cab_F2,24149,61.8775632183908,0.224125955669716,276.083878966597,1.21168202249429e-49,65.82,2.31,0.43,66.23,4.45,30_1_21,DB,-1
KC344,344,Kaga/Cab_F2,26097,65.9222068965517,0.05874128436813,1122.24660399693,1.07669727806378e-66,68.43,1.43,0.27,68.49,2.11,30_1_21,DB,-1
KC345,345,Kaga/Cab_F2,25542,66.2734482758621,0.173376969141245,382.250587284583,1.34221465807946e-53,71.24,2.86,0.53,70.75,3.99,30_1_21,DB,0
KC346,346,Kaga/Cab_F2,29297,57.1740689655172,0.314123499018932,182.011435451607,1.40271112720857e-44,60.73,2.18,0.41,59.75,3.54,30_1_21,DB,0
KC347,347,Kaga/Cab_F2,30057,58.4306896551724,0.35743261642617,163.473300896259,2.83159020555917e-43,70.79,7.08,1.32,70.75,10.78,31_1_21,AU,0
KC348,348,Kaga/Cab_F2,23617,56.9426666666667,0.176010071528841,323.519365522989,1.43191304850245e-51,60.83,2.26,0.42,60.5,4.68,31_1_21,AU,-1
KC349,349,Kaga/Cab_F2,23424,57.1074022988506,0.135521893227482,421.388758220727,8.76289265683218e-55,58.79,1.02,0.19,58.69,1.36,31_1_21,AU,-1
KC350,350,Kaga/Cab_F2,25396,63.9200689655172,0.626065444562899,102.0980626237,1.46703445157241e-37,61.02,2.32,0.43,61.86,4.22,31_1_21,AU,-1
KC351,351,Kaga/Cab_F2,26805,56.274091954023,0.224612454029033,250.538609701264,1.83478383777415e-48,57.58,0.95,0.18,57.79,0.6,31_1_21,AU,-1
KC352,352,Kaga/Cab_F2,23405,61.0178620689655,0.223204145895345,273.372440391745,1.59721196281911e-49,63.89,1.73,0.32,63.52,3.32,31_1_21,DB,-1
KC353,353,Kaga/Cab_F2,27441,61.770367816092,0.144901369360711,426.292505644467,6.33834132605478e-55,62.53,0.58,0.11,62.61,0.9,31_1_21,DB,-1
KC354,354,Kaga/Cab_F2,27209,59.1907126436782,0.074770593082083,791.630910011624,1.88711022158004e-62,62,1.61,0.3,62.16,2.95,31_1_21,DB,0
KC355,355,Kaga/Cab_F2,27855,63.4702068965517,0.142049216397421,446.818423263785,1.6990354068515e-55,64.32,0.61,0.11,64.12,0.3,31_1_21,DB,-1
KC356,356,Kaga/Cab_F2,27288,66.9125747126437,0.784183770445905,85.3276709292207,2.19593718740288e-35,63.32,2.9,0.54,64.72,1.28,31_1_21,DB,0
KC357,357,Kaga/Cab_F2,29647,58.2050793650794,0.443896793272692,131.123000317155,3.28892959956119e-38,63.22,3.06,0.59,61.86,5.51,31_1_21,DB,0
KC358,358,Kaga/Cab_F2,NA,56.4811724137931,1.03457230882421,54.593740748758,5.49210019583106e-30,64.46,5.28,0.98,67.44,5.65,31_1_21,DB,0
KC359,359,Kaga/Cab_F2,31275,61.1305747126437,0.466093889995298,131.155065588309,1.34015639338505e-40,64.65,2.35,0.44,63.22,2.78,31_1_21,DB,0
KC360,360,Kaga/Cab_F2,27196,66.1663678160919,0.554065065937489,119.419851356514,1.84088027668169e-39,71.15,3.18,0.59,70.15,5.5,31_1_21,DB,-1
KC361,361,Kaga/Cab_F2,25385,54.4800689655172,0.0561165917340672,970.837096160341,6.22908023011672e-65,56.52,1.17,0.22,56.43,2.26,31_1_21,AU,0
KC362,362,Kaga/Cab_F2,26719,61.361632183908,0.368083234735419,166.705859961308,1.6373959562338e-43,63.61,1.6,0.3,64.12,2.49,1_2_21,AU,0
KC363,363,Kaga/Cab_F2,27234,56.6165517241379,0.0464914154017218,1217.78507354373,1.09296839830662e-67,59.25,1.5,0.28,59.3,2.63,1_2_21,AU,0
KC364,364,Kaga/Cab_F2,23962,58.3527586206897,0.2734987619788,213.356573165084,1.64480266227208e-46,61.34,1.84,0.34,62.16,3.23,1_2_21,AU,0
KC365,365,Kaga/Cab_F2,24460,60.3121609195402,0.163785028773099,368.239767525358,3.81789446234185e-53,66.61,3.6,0.67,66.38,5.95,1_2_21,AU,-1
KC366,366,Kaga/Cab_F2,23807,60.5772183908046,0.213604052262996,283.595829522092,5.71551433263359e-50,62.73,1.35,0.25,62.31,1.36,1_2_21,AU,-1
KC367,367,Kaga/Cab_F2,30828,57.0120459770115,0.218668859363506,260.723205594799,6.01512940665003e-49,64.21,4.13,0.77,63.82,7.91,1_2_21,AU,0
KC368,368,Kaga/Cab_F2,32312,62.3175172413793,0.231907155451304,268.717526719286,2.58303470767156e-49,65.66,1.99,0.37,66.23,3.24,1_2_21,AU,-1
KC369,369,Kaga/Cab_F2,27075,55.6855632183908,0.717946008133797,77.5623272328483,3.14181912127348e-34,59.44,2.84,0.53,58.69,5.2,1_2_21,AU,-1
KC370,370,Kaga/Cab_F2,26907,61.8959310344828,0.277599807162688,222.968206163805,4.79275290293565e-47,66.16,2.53,0.47,66.98,3.84,1_2_21,AU,0
KC371,371,Kaga/Cab_F2,24012,63.4708275862069,0.376615231907386,168.52963504624,1.20772891307521e-43,65.33,1.44,0.27,65.93,1.43,1_2_21,DB,-1
KC372,372,Kaga/Cab_F2,30918,60.8866436781609,0.142397299007167,427.582855171264,5.82409824137727e-55,63.28,1.41,0.26,63.67,2.33,1_2_21,DB,0
KC373,373,Kaga/Cab_F2,31694,63.2461379310345,0.208711105619719,303.031972080449,8.9377490756704e-51,66.13,1.73,0.32,65.48,2.94,1_2_21,DB,0
KC374,374,Kaga/Cab_F2,23508,63.9884827586207,0.786313741897712,81.3778004237711,8.23629577348879e-35,65.59,2.25,0.42,65.63,2.72,1_2_21,DB,-1
KC375,375,Kaga/Cab_F2,26733,57.7466896551724,0.525304899384296,109.929851640175,1.86147131120975e-38,61.27,2.43,0.45,59.75,4.67,1_2_21,DB,0
KC376,376,Kaga/Cab_F2,23173,60.8242298850575,0.190880608118914,318.650650186349,2.18907930236197e-51,63.34,1.51,0.28,62.76,2.94,1_2_21,DB,0
KC377,377,Kaga/Cab_F2,28965,65.8184827586207,0.143985555659136,457.118649557017,8.97633061658542e-56,63.88,1.16,0.22,64.12,1.12,1_2_21,DB,-1
KC378,378,Kaga/Cab_F2,32546,62.5355862068965,0.526078539903832,118.871197860168,2.09370661917834e-39,62.76,1.39,0.26,62.31,2.34,1_2_21,DB,-1
KC379,379,Kaga/Cab_F2,21511,57.9881609195402,0.243512380247211,238.132290689579,7.60121812807176e-48,61.31,1.99,0.37,61.11,2.26,1_2_21,DB,-1
KC380,380,Kaga/Cab_F2,24285,59.4953103448276,0.178153146579945,333.955989478578,5.88738761077174e-52,61.64,1.3,0.24,61.56,2.63,1_2_21,DB,0
KC381,381,Kaga/Cab_F2,28929,59.4843448275862,1.6632016523136,35.7649625617197,6.46558109984364e-25,56.04,4.78,0.89,56.88,2.64,1_2_21,DB,0
KC382,382,Kaga/Cab_F2,24257,54.2088735632184,0.210977780315403,256.941150305868,9.05444541643967e-49,61.15,3.98,0.74,60.65,6.7,4_2_21,AU,-1
KC383,383,Kaga/Cab_F2,27583,54.6548275862069,0.166449235077164,328.357337063577,9.45066196773635e-52,59.62,2.85,0.53,58.99,4.67,4_2_21,AU,0
KC384,384,Kaga/Cab_F2,24117,57.0591264367816,0.0719174070124382,793.397993714,1.77290108774896e-62,61.7,2.64,0.49,61.56,4.6,4_2_21,AU,-1
KC385,385,Kaga/Cab_F2,25576,59.0190344827586,0.187898813348718,314.100091591458,3.2743348616621e-51,65.29,3.59,0.67,64.72,5.5,4_2_21,AU,-1
KC386,386,Kaga/Cab_F2,24448,61.4586896551724,0.268783829961574,228.654713581389,2.36867473410626e-47,65.38,2.34,0.43,64.57,4.14,4_2_21,AU,-1
KC387,387,Kaga/Cab_F2,22382,58.7163908045977,0.138310846464196,424.524846066917,7.12026951554454e-55,60.89,1.29,0.24,61.11,1.36,4_2_21,AU,-1
KC388,388,Kaga/Cab_F2,23855,56.79,0.111755074486811,508.164844064437,4.63372402452851e-57,59.87,1.77,0.33,59.9,2.27,4_2_21,AU,-1
KC389,389,Kaga/Cab_F2,23636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC390,390,Kaga/Cab_F2,20733,56.5853563218391,0.666691597075185,84.8748605353395,2.54731070934091e-35,60.09,2.65,0.49,59.3,4.14,4_2_21,AU,0
KC391,391,Kaga/Cab_F2,26769,55.695724137931,0.112346773827141,495.748317825536,9.26215669095836e-57,58.96,1.88,0.35,58.99,2.64,10_2_21,AU,-1
KC392,392,Kaga/Cab_F2,24270,58.0627126436781,0.129727534673791,447.574316352198,1.62050666985072e-55,62.09,2.31,0.43,61.86,4.15,10_2_21,AU,0
KC393,393,Kaga/Cab_F2,27512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC394,394,Kaga/Cab_F2,31439,51.1669425287356,0.32935172702514,155.356533244564,1.17667230921864e-42,55.39,2.55,0.47,54.47,5.05,10_2_21,AU,0
KC395,395,Kaga/Cab_F2,26216,55.781908045977,0.281421938461391,198.214497245494,1.29038072938902e-45,59.17,2.06,0.38,58.54,3.92,10_2_21,AU,0
KC396,396,Kaga/Cab_F2,27093,57.3540229885057,0.404645577989446,141.738909574842,1.53044004427854e-41,56.99,1.08,0.2,57.19,0.84,10_2_21,AU,-1
KC397,397,Kaga/Cab_F2,24653,54.2477471264367,0.153638334229619,353.087316381348,1.23787707581078e-52,56.27,1.22,0.23,56.88,1.42,10_2_21,AU,0
KC398,398,Kaga/Cab_F2,26876,54.5268965517241,0.149709401407091,364.2182524226,5.1919255681201e-53,56.98,1.44,0.27,57.03,3.16,10_2_21,AU,0
KC399,399,Kaga/Cab_F2,25894,61.3171921182266,0.775873997539366,79.0298325664864,1.74129026117698e-33,58.62,2.52,0.48,57.79,3.32,10_2_21,AU,-1
KC400,400,Kaga/Cab_F2,23041,53.1917471264368,0.249924465720884,212.831292738829,1.76226487827756e-46,54.85,1.15,0.21,55.08,2.33,11_2_21,AU,-1
KC401,401,Kaga/Cab_F2,28998,54.9545977011494,0.396542627551114,138.584338436769,2.87169191807394e-41,58.6,2.32,0.43,57.03,3.77,11_2_21,AU,0
KC402,402,Kaga/Cab_F2,29011,54.6508965517242,0.103003729878074,530.572015366963,1.3844287071319e-57,57.7,1.75,0.33,57.94,3.32,11_2_21,AU,NA
KC403,403,Kaga/Cab_F2,30936,56.7789655172414,0.513643298276861,110.5416262759,1.59411813685871e-38,54.26,1.97,0.36,54.62,3.47,11_2_21,AU,-1
KC404,404,Kaga/Cab_F2,21003,56.5861609195402,0.632487962242362,89.4659887579917,5.85799573195705e-36,54.15,2.16,0.4,54.62,3.02,11_2_21,AU,0
KC405,405,Kaga/Cab_F2,23276,61.5445517241379,0.362155219084049,169.939706736229,9.56631704140054e-44,66.68,3.07,0.57,65.48,5.88,11_2_21,AU,-1
KC406,406,Kaga/Cab_F2,26742,56.5554942528736,0.460951060827276,122.693055855805,8.64599715186535e-40,57.3,1.28,0.24,57.19,1.51,11_2_21,AU,0
KC407,407,Kaga/Cab_F2,23611,55.6002298850575,0.0711731647808025,781.196537435054,2.73614020631445e-62,58.51,1.66,0.31,58.24,2.63,11_2_21,AU,0
KC408,408,Kaga/Cab_F2,25496,52.694091954023,0.372655446349424,141.401641838917,1.63586340178903e-41,57.48,2.89,0.54,57.19,2.26,11_2_21,AU,-1
KC409,409,Kaga/Cab_F2,26666,54.379540229885,0.288627141767624,188.407576282852,5.33713601554194e-45,58.38,2.4,0.44,57.34,3.17,11_2_21,AU,-1
KC410,410,Kaga/Cab_F2,29568,52.2876551724138,0.439964086146542,118.84528037363,2.10650426702914e-39,60.79,4.97,0.92,59.3,9.35,16_2_21,AU,0
KC411,411,Kaga/Cab_F2,26118,54.4029885057471,0.0815665707849603,666.976531956622,2.28681622128664e-60,54.99,0.4,0.07,54.77,0.54,16_2_21,AU,0
KC412,412,Kaga/Cab_F2,27460,57.1765747126437,0.669206753887018,85.4393270548144,2.11727248616838e-35,58.58,1.93,0.36,58.39,2.64,16_2_21,AU,-1
KC413,413,Kaga/Cab_F2,28356,68.4667816091954,0.244557806436902,279.961546133921,8.20054381121368e-50,64.33,2.44,0.45,65.18,4.75,16_2_21,AU,NA
KC414,414,Kaga/Cab_F2,28205,57.2599540229885,0.122963431284551,465.666527233474,5.34364018846508e-56,61.08,2.19,0.41,61.41,4.08,16_2_21,AU,0
KC415,415,Kaga/Cab_F2,27223,59.0925747126437,0.159954604884161,369.433407406048,3.48721212898015e-53,62.29,1.86,0.35,62.76,3.62,16_2_21,AU,0
KC416,416,Kaga/Cab_F2,29379,58.7542528735632,0.0681752220206238,861.812417065387,1.74951708084472e-63,61.16,1.38,0.26,61.26,2.56,16_2_21,AU,0
KC417,417,Kaga/Cab_F2,26480,55.5191264367816,0.155642451721106,356.709405582134,9.30241610624513e-53,56.32,0.61,0.11,55.98,0.3,16_2_21,AU,-1
KC418,418,Kaga/Cab_F2,25055,52.995540229885,0.347580146030638,152.469986663777,1.98819821191367e-42,56.74,2.32,0.43,56.28,4.68,16_2_21,AU,-1
KC419,419,Kaga/Cab_F2,27039,54.0200459770115,0.163097102660243,331.214013590075,7.41571518060743e-52,55.55,0.97,0.18,55.08,0.83,16_2_21,AU,0
KC420,420,Kaga/Cab_F2,25354,61.8831264367816,0.306798583277975,201.706037151783,7.9163326520663e-46,64.1,1.49,0.28,63.52,2.64,16_2_21,DB,-1
KC421,421,Kaga/Cab_F2,28115,65.5437931034482,0.0807215999654736,811.973413949707,9.27419887258191e-63,66.12,0.39,0.07,65.93,0.6,16_2_21,DB,-1
KC422,422,Kaga/Cab_F2,24636,67.3242068965517,0.414930146073982,162.25431565666,3.49103114068512e-43,66.24,1.25,0.23,66.53,1.73,16_2_21,DB,-1
KC423,423,Kaga/Cab_F2,27920,60.1893506493506,0.767379541039797,78.4349170526415,2.25244697335168e-26,59.47,1.74,0.38,58.99,2.86,16_2_21,DB,-1
KC424,424,Kaga/Cab_F2,25651,62.9414942528736,0.271155739008797,232.123039265017,1.5542906173044e-47,62.48,0.76,0.14,62.61,1.43,16_2_21,DB,-1
KC425,425,Kaga/Cab_F2,28960,59.468551724138,0.505738239237847,117.587611752984,2.83584587551432e-39,60.77,1.52,0.28,61.11,2.34,16_2_21,DB,0
KC426,426,Kaga/Cab_F2,29342,58.1340919540229,0.166058566626741,350.081860484164,1.57255197446226e-52,60.8,1.58,0.29,61.26,2.94,16_2_21,DB,0
KC427,427,Kaga/Cab_F2,24755,61.9530344827586,0.237122214518733,261.270478636932,5.67226872916123e-49,62.29,0.65,0.12,62.31,1.12,16_2_21,DB,-1
KC428,428,Kaga/Cab_F2,23493,61.9569885057471,0.252447918369324,245.424834183445,3.26773591979853e-48,62.67,0.78,0.14,62.46,0.9,16_2_21,DB,-1
KC429,429,Kaga/Cab_F2,31039,59.006275862069,0.171010213353235,345.045332118187,2.35929464605041e-52,60.65,1.04,0.19,60.2,1.13,17_2_21,DB,-1
KC430,430,Kaga/Cab_F2,20435,60.5837931034483,0.111459218451995,543.551210432555,7.03730880476426e-58,62.65,1.21,0.22,62.46,2.41,17_2_21,DB,-1
KC431,431,Kaga/Cab_F2,28255,62.7525287356322,0.145744805060112,430.564428761286,4.79447329376387e-55,65.23,1.46,0.27,64.88,2.63,17_2_21,DB,-1
KC432,432,Kaga/Cab_F2,27895,61.139724137931,0.209228444310159,292.215163858399,2.47225211823704e-50,63.89,1.66,0.31,63.37,2.87,17_2_21,DB,0
KC433,433,Kaga/Cab_F2,26345,63.1431494252874,0.0945896210958589,667.54839160733,2.23259670862528e-60,64.91,1.04,0.19,64.72,2.04,17_2_21,DB,0
KC434,434,Kaga/Cab_F2,27485,62.915908045977,0.174997087487787,359.525458104369,7.46437566890495e-53,63.68,0.63,0.12,63.52,0.23,17_2_21,DB,-1
KC435,435,Kaga/Cab_F2,24800,60.6610114942528,0.0558188608633283,1086.74757162781,2.6482216992657e-66,63.56,1.65,0.31,63.67,2.87,17_2_21,DB,-1
KC436,436,Kaga/Cab_F2,27464,60.0357471264368,0.122585317281396,489.746638976545,1.30259556136226e-56,61.65,0.97,0.18,62.01,1.43,17_2_21,DB,0
KC437,437,Kaga/Cab_F2,24686,57.5336551724138,0.545911515780718,105.39007423233,6.04653848742592e-38,60.14,2.06,0.38,60.2,3.24,18_2_21,AU,-1
KC438,438,Kaga/Cab_F2,28318,54.5287586206897,0.0849220257745388,642.103837294923,6.62750573797098e-60,55.59,0.64,0.12,55.38,1.12,18_2_21,AU,0
KC439,439,Kaga/Cab_F2,29000,59.8991954022989,0.364718119316626,164.234218783899,2.48665995155733e-43,59.82,0.96,0.18,59.75,1.51,18_2_21,AU,0
KC440,440,Kaga/Cab_F2,26451,54.5059540229885,0.539760491943709,100.981740672996,1.99425386019857e-37,56,1.65,0.31,56.13,2.95,18_2_21,AU,0
KC441,441,Kaga/Cab_F2,23935,58.9402298850575,0.252694794913622,233.246711334932,1.357805940464e-47,60.14,0.95,0.18,60.5,0.83,18_2_21,AU,0
KC442,442,Kaga/Cab_F2,25321,54.7386666666667,0.168270566639847,325.301493658276,1.22781268733396e-51,57.98,1.89,0.35,58.24,3.17,18_2_21,AU,-1
KC443,443,Kaga/Cab_F2,21695,56.5306896551724,0.160824301396969,351.505892854062,1.40362731832211e-52,58.81,1.36,0.25,58.24,2.71,18_2_21,AU,-1
KC444,444,Kaga/Cab_F2,26225,61.9104367816092,0.1927879323008,321.13232422148,1.76176695900062e-51,63.64,1.1,0.2,63.22,1.81,18_2_21,AU,0
KC445,445,Kaga/Cab_F2,19544,53.1537471264368,0.391594147923065,135.736827039815,5.13140128761718e-41,55.48,1.67,0.31,55.23,1.44,18_2_21,AU,0
KC446,446,Kaga/Cab_F2,26223,59.08,0.11914228134277,495.877696264923,9.19473790669317e-57,60.07,0.64,0.12,60.2,1.5,23_3_21,AU,0
KC447,447,Kaga/Cab_F2,23288,56.0509885057471,0.0860614860575285,651.290037779261,4.45271127729403e-60,57.59,0.9,0.17,57.49,1.73,23_3_21,AU,-1
KC448,448,Kaga/Cab_F2,20337,55.582091954023,0.13238032828263,419.866702818233,9.69712650122779e-55,55.95,0.41,0.08,55.68,0.3,23_3_21,AU,0
KC449,449,Kaga/Cab_F2,NA,55.1428735632184,0.151109113090754,364.920900105479,4.91922125195321e-53,54.36,0.6,0.11,54.47,0.53,23_3_21,AU,0
KC450,450,Kaga/Cab_F2,20969,58.2587816091954,0.113830772108629,511.801690614898,3.79507526804655e-57,61.73,1.99,0.37,61.56,3.85,23_3_21,AU,0
KC451,451,Kaga/Cab_F2,26332,58.0897241379311,0.21933726901941,264.842014298949,3.87898585269803e-49,58.85,0.72,0.13,58.84,1.36,23_3_21,AU,0
KC452,452,Kaga/Cab_F2,23987,55.0749425287356,0.269921555191581,204.040549816947,5.73698264206417e-46,57.55,1.57,0.29,57.03,3.17,23_3_21,AU,0
KC453,453,Kaga/Cab_F2,22242,55.3558620689655,0.09631333086788,574.747665459739,1.47515096177912e-58,57.82,1.42,0.26,57.49,2.26,23_3_21,AU,0
KC454,454,Kaga/Cab_F2,27079,55.8985057471264,0.171308373401941,326.303406173683,1.12653905742652e-51,57.4,0.96,0.18,57.49,0.83,23_3_21,AU,0
KC455,455,Kaga/Cab_F2,27535,61.916,0.352637352965778,175.579811608921,3.83771441968068e-44,59.89,1.48,0.27,60.2,2.57,23_3_21,AU,0
KC456,456,Kaga/Cab_F2,23962,58.0576781609195,0.224605150674382,258.487741650626,7.65447686794079e-49,58.87,0.75,0.14,58.84,1.14,25_3_21,DB,0
KC457,457,Kaga/Cab_F2,28408,58.2087126436782,0.218687033382318,266.17358945976,3.37097391359725e-49,61.55,1.98,0.37,62.46,3.17,25_3_21,DB,-1
KC458,458,Kaga/Cab_F2,21157,61.4523218390805,0.244875261618841,250.953572985799,1.75173899168536e-48,66.06,2.69,0.5,66.68,5.34,25_3_21,DB,-1
KC459,459,Kaga/Cab_F2,23064,66.4349425287356,0.215415371301751,308.403908817048,5.46525237531339e-51,67.13,0.69,0.13,67.14,0.91,25_3_21,DB,-1
KC460,460,Kaga/Cab_F2,25197,60.578091954023,0.547416464831372,110.661801107286,1.54645360787433e-38,62.51,1.81,0.34,62.01,0.6,25_3_21,DB,-1
KC461,461,Kaga/Cab_F2,26677,58.6738160919541,0.33679525338592,174.212122950326,4.77619820162919e-44,61.72,1.94,0.36,62.76,2.57,25_3_21,DB,-1
KC462,462,Kaga/Cab_F2,27533,60.4518850574713,0.22290135733326,271.204652051937,1.99590506513176e-49,62.06,1.08,0.2,62.31,2.11,25_3_21,DB,-1
KC463,463,Kaga/Cab_F2,28517,59.4544137931035,0.127986794863772,464.535531625635,5.72010285639191e-56,60.51,0.69,0.13,60.2,1.21,25_3_21,DB,0
KC464,464,Kaga/Cab_F2,24216,60.4209195402299,0.241809776697777,249.869630439907,1.97735267507882e-48,59.44,0.85,0.16,59.3,1.21,25_3_21,DB,-1
KC465,465,Kaga/Cab_F2,NA,63.1794942528735,0.205191840687513,307.904515312037,5.71888622532157e-51,66.9,2.18,0.41,66.38,4.14,25_3_21,DB,-1
KC466,466,Kaga/Cab_F2,23868,57.576367816092,0.225604118123744,255.209737725228,1.09407670820169e-48,60.36,1.69,0.31,59.45,3.24,30_3_21,DB,-1
KC467,467,Kaga/Cab_F2,24848,58.0942758620689,0.152586252916649,380.730732628995,1.50058057191514e-53,60.17,1.25,0.23,59.75,1.43,30_3_21,DB,0
KC468,468,Kaga/Cab_F2,31252,55.8968505747126,0.48783245029427,114.582067144149,5.84667587432968e-39,58.69,2.04,0.38,58.24,3.84,30_3_21,DB,0
KC469,469,Kaga/Cab_F2,NA,59.7892105263158,0.127253613239066,469.842930227782,2.95308727932837e-38,63.11,1.89,0.43,62.91,3.46,30_3_21,DB,-1
KC470,470,Kaga/Cab_F2,24358,58.482183908046,0.0447866381584991,1305.7953513072,1.54916207022885e-68,60.39,1.09,0.2,60.5,1.51,30_3_21,DB,NA
KC471,471,Kaga/Cab_F2,30409,61.250367816092,0.221427748554578,276.615592291022,1.14815338638019e-49,63.07,1.18,0.22,63.67,2.41,30_3_21,DB,0
KC472,472,Kaga/Cab_F2,25620,63.3125287356322,0.234188583694791,270.348484698746,2.18059572106616e-49,64.17,0.78,0.15,64.42,0.9,30_3_21,DB,NA
KC473,473,Kaga/Cab_F2,21704,61.2803218390804,0.108206013958068,566.33009199311,2.22963470421168e-58,63.15,1.1,0.2,62.91,1.36,30_3_21,DB,NA
KC474,474,Kaga/Cab_F2,26438,60.846091954023,0.113672330462582,535.276189961217,1.08128560077233e-57,63.41,1.48,0.28,63.06,2.63,30_3_21,DB,-1
KC475,475,Kaga/Cab_F2,21951,60.3728275862069,0.163600003297102,369.027056048208,3.59632147070613e-53,63.55,1.85,0.34,63.06,2.94,30_3_21,DB,-1
KC476,476,Kaga/Cab_F2,NA,63.9502298850575,0.803372028881663,79.6022609525995,1.52360021382951e-34,64.79,2.16,0.4,64.72,3.23,1_4_21,DB,-1
KC477,477,Kaga/Cab_F2,NA,59.0087126436782,0.186707268580603,316.049359472064,2.75366914262342e-51,61.13,1.3,0.24,60.8,1.43,1_4_21,DB,-1
KC478,478,Kaga/Cab_F2,NA,62.8346896551724,0.148455720587575,423.255428665721,7.7429611294221e-55,65.98,1.83,0.34,65.63,2.27,1_4_21,DB,-1
KC479,479,Kaga/Cab_F2,18233,54.125540229885,0.373695405975834,144.838655665425,8.35779239716817e-42,63.94,5.66,1.05,65.03,8.37,1_4_21,DB,-1
KC480,480,Kaga/Cab_F2,22104,59.2105747126437,0.256430058140383,230.903409460012,1.80119679556071e-47,60.16,0.86,0.16,60.05,1.35,5_4_21,DB,0
KC481,481,Kaga/Cab_F2,20090,60.3917931034483,0.149449354986604,404.095374709792,2.8323070044065e-54,61.96,0.97,0.18,62.01,0.52,5_4_21,DB,0
KC482,482,Kaga/Cab_F2,20348,58.677908045977,0.11589894617191,506.285087001063,5.14032878246313e-57,61.14,1.43,0.27,60.95,1.73,5_4_21,DB,-1
KC484,484,Kaga/Cab_F2,21180,57.2903218390804,0.496227018178858,115.451839058128,4.7330283874497e-39,61.59,2.77,0.51,60.2,5.89,5_4_21,DB,-1
KC485,485,Kaga/Cab_F2,22302,58.5216551724138,0.0746978406943314,783.445071884853,2.52457965781288e-62,61.22,1.54,0.29,60.95,2.56,5_4_21,DB,-1
KC486,486,Kaga/Cab_F2,22300,59.7231034482759,0.384236735770614,155.433090822243,1.1605699295343e-42,59.05,1.08,0.2,59.14,2.04,5_4_21,DB,0
KC487,487,Kaga/Cab_F2,23156,64.1921609195402,0.549627230263824,116.792177288465,3.42814433013997e-39,65.19,1.55,0.29,65.18,2.56,5_4_21,DB,-1
KC488,488,Kaga/Cab_F2,22453,57.8234022988506,0.195984718837518,295.040361523234,1.88854077455436e-50,59.93,1.3,0.24,59.45,2.64,7_4_21,AU,0
KC489,489,Kaga/Cab_F2,22198,53.1467126436781,0.23102180285068,230.050635861539,1.99770642203756e-47,55.13,1.28,0.24,55.68,1.96,7_4_21,AU,-1
KC490,490,Kaga/Cab_F2,22480,52.9392413793103,0.186704152729694,283.546137594242,5.74361759809457e-50,54.99,1.27,0.24,54.47,2.34,7_4_21,AU,NA
KC491,491,Kaga/Cab_F2,NA,58.3774252873563,0.175050587271745,333.4888856827,6.12264274586504e-52,59.36,0.72,0.13,58.99,1.13,7_4_21,AU,-1
KC492,492,Kaga/Cab_F2,19686,52.5838620689655,0.183090807882183,287.200994289144,4.01324407198087e-50,55.1,1.51,0.28,54.62,3.24,7_4_21,AU,0
