fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC60,60,Kaga/Cab_F2,26134,69.73,0.17,408.57,2.45e-49,70.42,0.58,0.11,70.45,1.06,2_12_20,DB,-1
KC61,61,Kaga/Cab_F2,20793,65.33,0.197,330.972,7.56e-52,69.53,2.44,0.45,69.85,3.24,2_12_20,DB,-1
KC62,62,Kaga/Cab_F2,25289,55.51,0.22,246.05,3.04e-48,56.47,0.8,0.15,56.28,0.52,3_12_20,AU,-1
KC63,63,Kaga/Cab_F2,28316,55.68,0.143,387.93,8.87e-52,57.73,1.22,0.23,58.09,1.42,3_12_20,AU,-1
KC64,64,Kaga/Cab_F2,23991,58.22,0.094,619.22,1.83e-59,61.26,1.74,0.32,61.26,3.31,3_12_20,AU,-1
KC65,65,Kaga/Cab_F2,23878,64.41,0.0735,875.78,1.11e-63,66.31,1.09,0.2,66.08,1.81,3_12_20,AU,-1
KC66,66,Kaga/Cab_F2,25453,66.84,0.272,244.88,3.47e-48,68.86,1.35,0.25,69.55,2.03,3_12_20,AU,0
KC67,67,Kaga/Cab_F2,23797,62.27,0.106,586.97,8.18e-59,64.33,1.2,0.22,64.12,2.11,3_12_20,AU,-1
KC68,68,Kaga/Cab_F2,23322,65.68,0.18,363.26,5.58e-53,66.99,0.88,0.16,67.44,1.43,3_12_20,AU,0
KC69,69,Kaga/Cab_F2,21899,58.58,0.134,435.45,3.49e-55,60.94,1.38,0.26,60.95,2.94,3_12_20,AU,-1
KC70,70,Kaga/Cab_F2,24933,62.41,0.126,493.4,1.057e-56,63.9,0.91,0.17,63.52,1.42,3_12_20,AU,0
KC71,71,Kaga/Cab_F2,21264,59.82,0.21,283.73,5.63e-50,62.43,1.58,0.29,63.06,2.64,3_12_20,AU,0
KC72,72,Kaga/Cab_F2,20247,61.57,0.035,1722.26,6.6e-72,62.86,0.74,0.14,62.91,1.13,8_12_20,AU,-1
KC73,73,Kaga/Cab_F2,26441,60.45,0.101,595.89,5.36e-59,63,1.47,0.27,62.76,2.63,8_12_20,AU,-1
KC74,74,Kaga/Cab_F2,22173,55.63,0.29,186.15,7.47e-45,58.81,1.97,0.37,57.94,2.33,8_12_20,AU,-1
KC75,75,Kaga/Cab_F2,23330,54.21,0.708,76.56,4.5e-34,60.7,4.13,0.77,58.24,4.9,8_12_20,AU,-1
KC76,76,Kaga/Cab_F2,26432,56.35,0.11,489.39,1.32e-56,59.12,1.59,0.29,59.14,2.56,8_12_20,AU,0
