SAMPLE	intercept	mean
237	63.515908045977	66.31
238	62.9113103448276	66.61
239	64.5901379310345	67.28
240	65.9406206896552	67.33
241	60.2488735632184	66.16
242	60.5278620689656	61.08
243	58.7184367816092	60.35
244	54.0851954022989	57.63
245	58.7527816091954	61.69
247	58.8345287356322	60.63
248	54.2436091954023	57.43
249	55.1137011494253	56.64
250	55.9115172413793	59.67
251	55.7510344827586	55.81
252	60.3992413793103	65.63
253	58.812091954023	64.25
254	55.998321839080504	59.7
255	59.7354712643678	66.45
256	66.4383218390804	68.35
259	55.9065057471264	70.31
260	68.7483000000001	65.48
261	54.5748045977012	59.55
262	58.7856781609195	64.18
263	59.1393793103449	59.91
264	50.8051494252873	56.29
265	57.533632183908	68.34
266	57.5234022988506	63.04
267	54.6293103448276	63.48
268	67.4540229885058	75.91
269	58.1469885057471	62.77
270	54.4662298850575	57.93
271	56.3353333333333	58.37
272	54.3969425287357	56.24
273	53.4450344827586	56.57
274	63.2754942528736	69.8
275	54.9975172413793	58.79
276	57.1737701149425	61.87
277	61.4203448275862	65.79
278	NA	NA
280	55.630459770115	56.32
281	51.3168965517241	52.67
282	56.5081379310344	57.86
283	58.583724137931	59.23
284	55.4042528735632	56.17
285	57.0904827586207	59.08
286	56.7921379310344	57.76
287	57.9175632183908	60.49
288	53.8029195402299	56.19
289	61.9438390804598	62.93
290	52.7396091954023	55.24
291	56.7810574712644	59.93
292	54.1744827586207	57.82
293	58.3133793103448	59.57
294	57.662	60.79
295	55.9005287356322	59.42
296	56.2186666666667	58.53
297	55.3550804597701	56.73
298	58.1250574712644	62.61
299	66.4508965517241	70.41
300	60.5841149425287	63.46
301	60.6755632183908	64.47
302	63.0976091954023	65.4
303	57.7888505747127	61.56
304	59.2460459770115	62.68
306	58.9511494252873	63.06
307	60.5806206896552	64.53
308	60.9749425287356	63.15
309	60.5917701149425	63.31
310	58.1770574712644	60.75
311	57.3239540229885	59.78
312	58.398	65.9
313	55.2531724137931	59.16
314	61.1198620689655	65.98
315	58.3229195402299	61.06
316	61.8326896551724	62.62
317	59.5280689655172	62.06
318	63.5398390804598	64.46
319	60.726091954023	61.67
320	60.0991954022989	62.49
321	63.6025517241379	65.07
322	64.4273103448276	65.3
323	61.4855172413793	63.41
324	58.6828045977011	61.17
326	65.1005057471264	66.86
327	51.4664827586207	56.68
328	51.579724137931	55.82
329	64.8284367816092	68.17
330	53.6294712643678	54.78
331	59.4652183908047	61.7
332	62.4823218390804	68.44
333	56.4947816091954	60.05
334	55.9765287356322	58.83
335	58.8665287356322	62.48
336	55.007448275862	58.77
337	59.451632183908	60.92
338	61.7739540229885	64.81
339	56.5865287356322	61.38
340	66.0795726495727	65.34
341	56.2214022988506	58.58
342	62.0775632183908	66.07
343	61.8775632183908	65.82
344	65.9222068965517	68.43
345	66.2734482758621	71.24
346	57.1740689655172	60.73
347	58.4306896551724	70.79
348	56.9426666666667	60.83
349	57.1074022988506	58.79
350	63.9200689655172	61.02
351	56.274091954023	57.58
352	61.0178620689655	63.89
353	61.770367816092	62.53
354	59.1907126436782	62
355	63.4702068965517	64.32
356	66.9125747126437	63.32
357	58.2050793650794	63.22
358	56.4811724137931	64.46
359	61.1305747126437	64.65
360	66.1663678160919	71.15
361	54.4800689655172	56.52
362	61.361632183908	63.61
363	56.6165517241379	59.25
364	58.3527586206897	61.34
365	60.3121609195402	66.61
366	60.5772183908046	62.73
367	57.0120459770115	64.21
368	62.3175172413793	65.66
369	55.6855632183908	59.44
370	61.8959310344828	66.16
371	63.4708275862069	65.33
372	60.8866436781609	63.28
373	63.2461379310345	66.13
374	63.9884827586207	65.59
375	57.7466896551724	61.27
376	60.8242298850575	63.34
377	65.8184827586207	63.88
378	62.5355862068965	62.76
379	57.9881609195402	61.31
380	59.4953103448276	61.64
381	59.4843448275862	56.04
382	54.2088735632184	61.15
383	54.6548275862069	59.62
384	57.0591264367816	61.7
385	59.0190344827586	65.29
386	61.4586896551724	65.38
387	58.7163908045977	60.89
388	56.79	59.87
389	73.2609425287356	68.36
390	56.5853563218391	60.09
391	55.695724137931	58.96
392	58.0627126436781	62.09
393	75.178	67.52
394	51.1669425287356	55.39
395	55.781908045977	59.17
396	57.3540229885057	56.99
397	54.2477471264367	56.27
398	54.5268965517241	56.98
399	61.3171921182266	58.62
400	53.1917471264368	54.85
