fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC55,55,Kaga/Cab_F2,25723,-1.5374160363059322,248,2211,6.11e-45,5568,0.79,0.15,5568,0.9,1_12_20,AU,0,-1
KC56,56,Kaga/Cab_F2,25576,-1.981593524865505,84,64099,6.95e-58,5539,0.85,0.16,5523,1.06,2_12_20,DB,NA,-1
KC57,57,Kaga/Cab_F2,19634,-1.3586503071365694,194,344272,2.52e-50,6951,1.58,0.29,6894,1.96,2_12_20,DB,0,0
KC58,58,Kaga/Cab_F2,21337,-2.0578559805954546,0.19,35533,1.03e-50,6667,0.69,0.13,6653,0.83,2_12_20,DB,0,-1
KC59,59,Kaga/Cab_F2,26114,-1.3102862716584533,0.09,75571,3.33e-60,685,0.8,0.15,6879,1.81,2_12_20,DB,0,-1
KC60,60,Kaga/Cab_F2,26134,-1.3340782356020948,0.17,40857,2.45e-47,7042,0.58,0.11,7045,1.06,2_12_20,DB,-1,-1
KC61,61,Kaga/Cab_F2,20793,-1.4104195313382346,197,330972,7.56e-50,6953,2.44,0.45,6985,3.24,2_12_20,DB,-1,-1
KC62,62,Kaga/Cab_F2,25289,-1.4578204542302065,0.22,24605,3.04e-46,5647,0.8,0.15,5628,0.52,3_12_20,AU,-1,0
KC63,63,Kaga/Cab_F2,28316,-1.4212664011315361,143,38793,8.87e-50,5773,1.22,0.23,5809,1.42,3_12_20,AU,-1,-1
KC64,64,Kaga/Cab_F2,23991,-1.1799159758215512,94,61922,1.83e-57,6126,1.74,0.32,6126,3.31,3_12_20,AU,-1,-1
KC65,65,Kaga/Cab_F2,23878,-0.8820513673575064,0.0735,87578,1.11e-61,6631,1.09,0.2,6608,1.81,3_12_20,AU,-1,-1
KC66,66,Kaga/Cab_F2,25453,-0.8536968815133125,272,24488,3.47e-46,6886,1.35,0.25,6955,2.03,3_12_20,AU,0,0
KC67,67,Kaga/Cab_F2,23797,-0.9309569982503333,106,58697,8.18e-57,6433,1.2,0.22,6412,2.11,3_12_20,AU,-1,0
KC68,68,Kaga/Cab_F2,23322,-0.8630712057796387,0.18,36326,5.58e-51,6699,0.88,0.16,6744,1.43,3_12_20,AU,0,0
KC69,69,Kaga/Cab_F2,21899,-1.1670051756057769,134,43545,3.49e-53,6094,1.38,0.26,6095,2.94,3_12_20,AU,-1,0
KC70,70,Kaga/Cab_F2,24933,-0.9209999506630927,126,4934,1.057e-53,639,0.91,0.17,6352,1.42,3_12_20,AU,0,-1
KC71,71,Kaga/Cab_F2,21264,-1.0251254248084707,0.21,28373,5.63e-48,6243,1.58,0.29,6306,2.64,3_12_20,AU,0,0
KC72,72,Kaga/Cab_F2,20247,-0.951153380751076,35,172226,6.6e-71,6286,0.74,0.14,6291,1.13,8_12_20,AU,-1,-1
KC73,73,Kaga/Cab_F2,26441,-1.0034302832636448,101,59589,5.36e-57,63,1.47,0.27,6276,2.63,8_12_20,AU,-1,0
KC74,74,Kaga/Cab_F2,22173,-1.4393030359624572,0.29,18615,7.47e-43,5881,1.97,0.37,5794,2.33,8_12_20,AU,-1,-1
KC75,75,Kaga/Cab_F2,23330,-1.6281509381932628,708,7656,4.5e-33,607,4.13,0.77,5824,4.9,8_12_20,AU,-1,-1
KC76,76,Kaga/Cab_F2,26432,-1.3533685977891965,0.11,48939,1.32e-54,5912,1.59,0.29,5914,2.56,8_12_20,AU,0,0
KC77,77,Kaga/Cab_F2,27135,-1.1293926971546164,418,13996,2.17e-39,5642,1.67,0.31,5688,1.36,8_12_20,AU,-1,0
KC78,78,Kaga/Cab_F2,26738,-1.2618972276504439,0.26,21975,2.93e-36,6344,3.61,0.75,6291,5.66,8_12_20,AU,-1,-1
KC79,79,Kaga/Cab_F2,26331,-2.419919747395994,283,19761,1.4e-44,5945,2.12,0.39,5854,3.54,11_12_20,AU,-1,0
KC80,80,Kaga/Cab_F2,24921,-1.2476468484442633,0.25,22176,5.57e-45,5721,0.68,0.13,5719,0.53,11_12_20,AU,-1,-1
KC81,81,Kaga/Cab_F2,27994,-2.2281093909186764,0.43,13116,1.33e-38,5849,1.44,0.27,5824,3.01,11_12_20,AU,0,0
KC82,82,Kaga/Cab_F2,24789,-1.2063453805470261,0.06,84274,3.27e-61,579,0.18,0.03,5779,0.3,11_12_20,AU,-1,-1
