fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC330,330,Kaga/Cab_F2,26541,-0.41535998396996654,0.159795187537524,335613807216655,5.12531846759946e-38,5478,0.78,0.14,5462,1.74,30_1_21,AU,-1,-1
KC331,331,Kaga/Cab_F2,26344,0.8583746145943587,0.221533043000245,268425953913968,2.66272898821237e-35,617,1.4,0.26,6216,2.94,30_1_21,AU,0,0
KC332,332,Kaga/Cab_F2,26011,1.3950482379855405,0.900316210147407,694004185805455,6.95806729329827e-19,6844,4.13,0.77,6623,5.58,30_1_21,AU,-1,-1
KC333,333,Kaga/Cab_F2,27447,0.10884591034241606,0.0792328805566135,713021932464373,3.52770368754655e-47,6005,2.03,0.38,5975,3.77,30_1_21,AU,0,0
KC334,334,Kaga/Cab_F2,27355,0.011349789545749889,0.378531989402053,147877934501798,4.67607394514387e-28,5883,1.9,0.35,5779,1.66,30_1_21,AU,-1,-1
KC335,335,Kaga/Cab_F2,26202,0.7337015399417749,0.201297770056615,29243507625085,2.42073728296733e-36,6248,2.12,0.39,6171,2.79,30_1_21,AU,-1,-1
KC336,336,Kaga/Cab_F2,25314,-0.737952461498711,0.223926991598902,245649029994523,3.18528729863648e-34,5877,2.22,0.41,5809,4.38,30_1_21,AU,-1,-1
KC337,337,Kaga/Cab_F2,28667,-1.1419727505307526,0.223627240958123,265851476453358,3.48718134763226e-35,6092,1.02,0.19,605,1.73,30_1_21,DB,0,0
KC338,338,Kaga/Cab_F2,30459,0.23799987891187127,0.244156034562188,253010146293371,1.39400446577969e-34,6481,1.84,0.34,6578,3.17,30_1_21,DB,0,0
KC339,339,Kaga/Cab_F2,28910,-0.7529413669029005,0.605939483607629,933864358842052,1.76974254302821e-22,6138,3.15,0.59,599,4.68,30_1_21,DB,0,0
KC340,340,Kaga/Cab_F2,23678,1.39712416030528,0.623723197913549,10594374695477,1.08234150521859e-20,6534,1.6,0.31,6472,2.11,30_1_21,DB,0,0
KC341,341,Kaga/Cab_F2,24249,-0.7930944909758807,0.582378359384008,965375883099725,7.00751629922104e-23,5858,2.03,0.38,5899,3.84,30_1_21,DB,0,0
KC342,342,Kaga/Cab_F2,24285,0.341571660625871,0.144115775559352,430747869048002,4.73763870468265e-41,6607,2.3,0.43,6563,4.14,30_1_21,DB,-1,-1
KC343,343,Kaga/Cab_F2,24149,0.2687542366049864,0.224125955669716,276083878966597,1.21168202249429e-35,6582,2.31,0.43,6623,4.45,30_1_21,DB,-1,-1
KC344,344,Kaga/Cab_F2,26097,1.3462626652319192,0.05874128436813,112224660399693,1.07669727806378e-52,6843,1.43,0.27,6849,2.11,30_1_21,DB,-1,-1
KC345,345,Kaga/Cab_F2,25542,1.5113744731496355,0.173376969141245,382250587284583,1.34221465807946e-39,7124,2.86,0.53,7075,3.99,30_1_21,DB,0,0
KC346,346,Kaga/Cab_F2,29297,-0.726835500834182,0.314123499018932,182011435451607,1.40271112720857e-30,6073,2.18,0.41,5975,3.54,30_1_21,DB,0,0
KC347,347,Kaga/Cab_F2,30057,0.6353097886448956,0.35743261642617,163473300896259,2.83159020555917e-29,7079,7.08,1.32,7075,10.78,31_1_21,AU,0,0
KC348,348,Kaga/Cab_F2,23617,0.22731203874664396,0.176010071528841,323519365522989,1.43191304850245e-37,6083,2.26,0.42,605,4.68,31_1_21,AU,-1,-1
KC349,349,Kaga/Cab_F2,23424,0.27416398632123384,0.135521893227482,421388758220727,8.76289265683218e-41,5879,1.02,0.19,5869,1.36,31_1_21,AU,-1,-1
KC350,350,Kaga/Cab_F2,25396,1.6659121237777204,0.626065444562899,1020980626237,1.46703445157241e-23,6102,2.32,0.43,6186,4.22,31_1_21,AU,-1,-1
KC351,351,Kaga/Cab_F2,26805,-0.6877802055396852,0.224612454029033,250538609701264,1.83478383777415e-34,5758,0.95,0.18,5779,0.6,31_1_21,AU,-1,0
KC352,352,Kaga/Cab_F2,23405,0.08697287964740119,0.223204145895345,273372440391745,1.59721196281911e-35,6389,1.73,0.32,6352,3.32,31_1_21,DB,-1,-1
KC353,353,Kaga/Cab_F2,27441,-0.9221781782775867,0.144901369360711,426292505644467,6.33834132605478e-41,6253,0.58,0.11,6261,0.9,31_1_21,DB,-1,-1
KC354,354,Kaga/Cab_F2,27209,-0.3574003975112674,0.074770593082083,791630910011624,1.88711022158004e-48,62,1.61,0.3,6216,2.95,31_1_21,DB,0,0
KC355,355,Kaga/Cab_F2,27855,0.6698235219954022,0.142049216397421,446818423263785,1.6990354068515e-42,6432,0.61,0.11,6412,0.3,31_1_21,DB,-1,-1
KC356,356,Kaga/Cab_F2,27288,1.6896804317154357,0.784183770445905,853276709292207,2.19593718740288e-21,6332,2.9,0.54,6472,1.28,31_1_21,DB,0,0
KC357,357,Kaga/Cab_F2,29647,-0.591096976572805,0.443896793272692,131123000317155,3.28892959956119e-24,6322,3.06,0.59,6186,5.51,31_1_21,DB,0,0
KC358,358,Kaga/Cab_F2,NA,-0.7661881530625029,1.03457230882421,54593740748758,5.49210019583106e-16,6446,5.28,0.98,6744,5.65,31_1_21,DB,0,0
KC359,359,Kaga/Cab_F2,31275,0.09694222345630979,0.466093889995298,131155065588309,1.34015639338505e-26,6465,2.35,0.44,6322,2.78,31_1_21,DB,0,0
KC360,360,Kaga/Cab_F2,27196,1.451881154429725,0.554065065937489,119419851356514,1.84088027668169e-25,7115,3.18,0.59,7015,5.5,31_1_21,DB,-1,-1
KC361,361,Kaga/Cab_F2,25385,-0.2978110923919635,0.0561165917340672,970837096160341,6.22908023011672e-51,5652,1.17,0.22,5643,2.26,31_1_21,AU,0,0
KC362,362,Kaga/Cab_F2,26719,-0.6155932592077531,0.368083234735419,166705859961308,1.6373959562338e-30,6361,1.6,0.3,6412,2.49,1_2_21,AU,0,0
KC363,363,Kaga/Cab_F2,27234,0.17436544842472965,0.0464914154017218,121778507354373,1.09296839830662e-53,5925,1.5,0.28,593,2.63,1_2_21,AU,0,0
KC364,364,Kaga/Cab_F2,23962,0.6116787508791226,0.2734987619788,213356573165084,1.64480266227208e-32,6134,1.84,0.34,6216,3.23,1_2_21,AU,0,0
KC365,365,Kaga/Cab_F2,24460,0.9874639136381954,0.163785028773099,368239767525358,3.81789446234185e-39,6661,3.6,0.67,6638,5.95,1_2_21,AU,-1,0
KC366,366,Kaga/Cab_F2,23807,1.0529423828807836,0.213604052262996,283595829522092,5.71551433263359e-36,6273,1.35,0.25,6231,1.36,1_2_21,AU,-1,-1
KC367,367,Kaga/Cab_F2,30828,0.24064299492971888,0.218668859363506,260723205594799,6.01512940665003e-35,6421,4.13,0.77,6382,7.91,1_2_21,AU,0,0
KC368,368,Kaga/Cab_F2,32312,1.3453097495694504,0.231907155451304,268717526719286,2.58303470767156e-35,6566,1.99,0.37,6623,3.24,1_2_21,AU,-1,-1
KC369,369,Kaga/Cab_F2,27075,-0.07302622050721759,0.717946008133797,775623272328483,3.14181912127348e-20,5944,2.84,0.53,5869,5.2,1_2_21,AU,-1,0
KC370,370,Kaga/Cab_F2,26907,1.2837661143369656,0.277599807162688,222968206163805,4.79275290293565e-33,6616,2.53,0.47,6698,3.84,1_2_21,AU,0,0
KC371,371,Kaga/Cab_F2,24012,0.6822996332113873,0.376615231907386,16852963504624,1.20772891307521e-29,6533,1.44,0.27,6593,1.43,1_2_21,DB,-1,0
KC372,372,Kaga/Cab_F2,30918,0.057112667681754103,0.142397299007167,427582855171264,5.82409824137727e-41,6328,1.41,0.26,6367,2.33,1_2_21,DB,0,0
KC373,373,Kaga/Cab_F2,31694,0.6209181700422963,0.208711105619719,303031972080449,8.9377490756704e-38,6613,1.73,0.32,6548,2.94,1_2_21,DB,0,0
KC374,374,Kaga/Cab_F2,23508,0.8136568081151938,0.786313741897712,813778004237711,8.23629577348879e-21,6559,2.25,0.42,6563,2.72,1_2_21,DB,-1,-1
KC375,375,Kaga/Cab_F2,26733,-0.701215854714251,0.525304899384296,109929851640175,1.86147131120975e-24,6127,2.43,0.45,5975,4.67,1_2_21,DB,0,0
KC376,376,Kaga/Cab_F2,23173,0.027303303823428784,0.190880608118914,318650650186349,2.18907930236197e-37,6334,1.51,0.28,6276,2.94,1_2_21,DB,0,0
KC377,377,Kaga/Cab_F2,28965,1.3220887068910743,0.143985555659136,457118649557017,8.97633061658542e-42,6388,1.16,0.22,6412,1.12,1_2_21,DB,-1,-1
KC378,378,Kaga/Cab_F2,32546,0.4162491157324941,0.526078539903832,118871197860168,2.09370661917834e-25,6276,1.39,0.26,6231,2.34,1_2_21,DB,-1,-1
KC379,379,Kaga/Cab_F2,21511,-0.6513021122615636,0.243512380247211,238132290689579,7.60121812807176e-34,6131,1.99,0.37,6111,2.26,1_2_21,DB,-1,-1
KC380,380,Kaga/Cab_F2,24285,-0.29457726514602695,0.178153146579945,333955989478578,5.88738761077174e-38,6164,1.3,0.24,6156,2.63,1_2_21,DB,0,0
KC381,381,Kaga/Cab_F2,28929,-0.3049607586521116,1.6632016523136,357649625617197,6.46558109984364e-11,5604,4.78,0.89,5688,2.64,1_2_21,DB,0,0
KC382,382,Kaga/Cab_F2,24257,-0.3594271731167522,0.210977780315403,256941150305868,9.05444541643967e-35,6115,3.98,0.74,6065,6.7,4_2_21,AU,-1,-1
KC383,383,Kaga/Cab_F2,27583,-0.23064090011098182,0.166449235077164,328357337063577,9.45066196773635e-38,5962,2.85,0.53,5899,4.67,4_2_21,AU,0,0
KC384,384,Kaga/Cab_F2,24117,0.24732439605810996,0.0719174070124382,793397993714,1.77290108774896e-48,617,2.64,0.49,6156,4.6,4_2_21,AU,-1,0
KC385,385,Kaga/Cab_F2,25576,0.7944935712149314,0.187898813348718,314100091591458,3.2743348616621e-38,6529,3.59,0.67,6472,5.5,4_2_21,AU,-1,-1
KC386,386,Kaga/Cab_F2,24448,1.1606221305090711,0.268783829961574,228654713581389,2.36867473410626e-33,6538,2.34,0.43,6457,4.14,4_2_21,AU,-1,0
KC387,387,Kaga/Cab_F2,22382,0.659301066095377,0.138310846464196,424524846066917,7.12026951554454e-41,6089,1.29,0.24,6111,1.36,4_2_21,AU,-1,0
KC388,388,Kaga/Cab_F2,23855,-1.2986934316698833,0.111755074486811,508164844064437,4.63372402452851e-43,5987,1.77,0.33,599,2.27,4_2_21,AU,-1,0
KC390,390,Kaga/Cab_F2,20733,0.15464372224989487,0.666691597075185,848748605353395,2.54731070934091e-21,6009,2.65,0.49,593,4.14,4_2_21,AU,0,0
KC391,391,Kaga/Cab_F2,26769,-0.712642072437382,0.112346773827141,495748317825536,9.26215669095836e-43,5896,1.88,0.35,5899,2.64,10_2_21,AU,-1,-1
KC392,392,Kaga/Cab_F2,24270,0.5203121134714721,0.129727534673791,447574316352198,1.62050666985072e-41,6209,2.31,0.43,6186,4.15,10_2_21,AU,0,0
KC394,394,Kaga/Cab_F2,31439,-0.531483044333883,0.32935172702514,155356533244564,1.17667230921864e-28,5539,2.55,0.47,5447,5.05,10_2_21,AU,0,0
KC395,395,Kaga/Cab_F2,26216,-0.7043065074748418,0.281421938461391,198214497245494,1.29038072938902e-31,5917,2.06,0.38,5854,3.92,10_2_21,AU,0,0
KC396,396,Kaga/Cab_F2,27093,0.3698240647329126,0.404645577989446,141738909574842,1.53044004427854e-27,5699,1.08,0.2,5719,0.84,10_2_21,AU,-1,-1
KC397,397,Kaga/Cab_F2,24653,-0.3456246234903053,0.153638334229619,353087316381348,1.23787707581078e-38,5627,1.22,0.23,5688,1.42,10_2_21,AU,0,0
KC398,398,Kaga/Cab_F2,26876,-0.27753246537204024,0.149709401407091,3642182524226,5.1919255681201e-40,5698,1.44,0.27,5703,3.16,10_2_21,AU,0,0
KC399,399,Kaga/Cab_F2,25894,1.1232777881734664,0.775873997539366,790298325664864,1.74129026117698e-19,5862,2.52,0.48,5779,3.32,10_2_21,AU,-1,-1
KC400,400,Kaga/Cab_F2,23041,-0.4366647965738369,0.249924465720884,212831292738829,1.76226487827756e-32,5485,1.15,0.21,5508,2.33,11_2_21,AU,-1,-1
KC401,401,Kaga/Cab_F2,28998,-0.18425132116291562,0.396542627551114,138584338436769,2.87169191807394e-27,586,2.32,0.43,5703,3.77,11_2_21,AU,0,0
KC402,402,Kaga/Cab_F2,29011,-0.23730633713244265,0.103003729878074,530572015366963,1.3844287071319e-44,577,1.75,0.33,5794,3.32,11_2_21,AU,NA,0
KC403,403,Kaga/Cab_F2,30936,0.2007683788001369,0.513643298276861,1105416262759,1.59411813685871e-24,5426,1.97,0.36,5462,3.47,11_2_21,AU,-1,-1
KC404,404,Kaga/Cab_F2,21003,0.16121057174141099,0.632487962242362,894659887579917,5.85799573195705e-22,5415,2.16,0.4,5462,3.02,11_2_21,AU,0,0
KC405,405,Kaga/Cab_F2,23276,1.1864457511128823,0.362155219084049,169939706736229,9.56631704140054e-30,6668,3.07,0.57,6548,5.88,11_2_21,AU,-1,0
KC406,406,Kaga/Cab_F2,26742,0.14152971425697744,0.460951060827276,122693055855805,8.64599715186535e-26,573,1.28,0.24,5719,1.51,11_2_21,AU,0,0
KC407,407,Kaga/Cab_F2,23611,-0.07953058163018795,0.0711731647808025,781196537435054,2.73614020631445e-48,5851,1.66,0.31,5824,2.63,11_2_21,AU,0,0
KC408,408,Kaga/Cab_F2,25496,-0.7637446871493364,0.372655446349424,141401641838917,1.63586340178903e-27,5748,2.89,0.54,5719,2.26,11_2_21,AU,-1,-1
KC409,409,Kaga/Cab_F2,26666,-0.7464945983542447,0.288627141767624,188407576282852,5.33713601554194e-31,5838,2.4,0.44,5734,3.17,11_2_21,AU,-1,0
KC410,410,Kaga/Cab_F2,29568,-0.4944940474875988,0.439964086146542,11884528037363,2.10650426702914e-25,6079,4.97,0.92,593,9.35,16_2_21,AU,0,0
KC411,411,Kaga/Cab_F2,26118,-0.3250426786504544,0.0815665707849603,666976531956622,2.28681622128664e-46,5499,0.4,0.07,5477,0.54,16_2_21,AU,0,0
KC412,412,Kaga/Cab_F2,27460,0.3012025756728478,0.669206753887018,854393270548144,2.11727248616838e-21,5858,1.93,0.36,5839,2.64,16_2_21,AU,-1,-1
KC413,413,Kaga/Cab_F2,28356,2.1244182224281922,0.244557806436902,279961546133921,8.20054381121368e-36,6433,2.44,0.45,6518,4.75,16_2_21,AU,NA,-1
KC414,414,Kaga/Cab_F2,28205,0.33531589496923975,0.122963431284551,465666527233474,5.34364018846508e-42,6108,2.19,0.41,6141,4.08,16_2_21,AU,0,0
KC415,415,Kaga/Cab_F2,27223,0.812405726211734,0.159954604884161,369433407406048,3.48721212898015e-39,6229,1.86,0.35,6276,3.62,16_2_21,AU,0,0
KC416,416,Kaga/Cab_F2,29379,0.6918940285014685,0.0681752220206238,861812417065387,1.74951708084472e-49,6116,1.38,0.26,6126,2.56,16_2_21,AU,0,0
KC417,417,Kaga/Cab_F2,26480,-0.09254968263257407,0.155642451721106,356709405582134,9.30241610624513e-39,5632,0.61,0.11,5598,0.3,16_2_21,AU,-1,-1
KC418,418,Kaga/Cab_F2,25055,-0.7550915562724554,0.347580146030638,152469986663777,1.98819821191367e-28,5674,2.32,0.43,5628,4.68,16_2_21,AU,-1,-1
KC419,419,Kaga/Cab_F2,27039,-0.3802610880583178,0.163097102660243,331214013590075,7.41571518060743e-38,5555,0.97,0.18,5508,0.83,16_2_21,AU,0,0
KC420,420,Kaga/Cab_F2,25354,0.279060989980564,0.306798583277975,201706037151783,7.9163326520663e-33,641,1.49,0.28,6352,2.64,16_2_21,DB,-1,-1
KC421,421,Kaga/Cab_F2,28115,1.2113988647822571,0.0807215999654736,811973413949707,9.27419887258191e-49,6612,0.39,0.07,6593,0.6,16_2_21,DB,-1,-1
KC422,422,Kaga/Cab_F2,24636,1.829486681749474,0.414930146073982,16225431565666,3.49103114068512e-29,6624,1.25,0.23,6653,1.73,16_2_21,DB,-1,-1
KC423,423,Kaga/Cab_F2,27920,-0.17209055674917956,0.767379541039797,784349170526415,2.25244697335168e-12,5947,1.74,0.38,5899,2.86,16_2_21,DB,-1,-1
KC424,424,Kaga/Cab_F2,25651,0.5272502722482357,0.271155739008797,232123039265017,1.5542906173044e-34,6248,0.76,0.14,6261,1.43,16_2_21,DB,-1,0
KC425,425,Kaga/Cab_F2,28960,-1.123120928850755,0.505738239237847,117587611752984,2.83584587551432e-25,6077,1.52,0.28,6111,2.34,16_2_21,DB,0,0
KC426,426,Kaga/Cab_F2,29342,-0.6029609710051692,0.166058566626741,350081860484164,1.57255197446226e-38,608,1.58,0.29,6126,2.94,16_2_21,DB,0,0
KC427,427,Kaga/Cab_F2,24755,0.2893974740964616,0.237122214518733,261270478636932,5.67226872916123e-35,6229,0.65,0.12,6231,1.12,16_2_21,DB,-1,-1
KC428,428,Kaga/Cab_F2,23493,0.29976497190582546,0.252447918369324,245424834183445,3.26773591979853e-34,6267,0.78,0.14,6246,0.9,16_2_21,DB,-1,-1
KC429,429,Kaga/Cab_F2,31039,-1.1612394039037792,0.171010213353235,345045332118187,2.35929464605041e-38,6065,1.04,0.19,602,1.13,17_2_21,DB,-1,-1
KC430,430,Kaga/Cab_F2,20435,-0.05214163067215725,0.111459218451995,543551210432555,7.03730880476426e-44,6265,1.21,0.22,6246,2.41,17_2_21,DB,-1,0
KC431,431,Kaga/Cab_F2,28255,0.4599605259626391,0.145744805060112,430564428761286,4.79447329376387e-41,6523,1.46,0.27,6488,2.63,17_2_21,DB,-1,-1
KC432,432,Kaga/Cab_F2,27895,-0.968743330793852,0.209228444310159,292215163858399,2.47225211823704e-36,6389,1.66,0.31,6337,2.87,17_2_21,DB,0,0
KC433,433,Kaga/Cab_F2,26345,0.5734550384149394,0.0945896210958589,66754839160733,2.23259670862528e-46,6491,1.04,0.19,6472,2.04,17_2_21,DB,0,0
KC434,434,Kaga/Cab_F2,27485,-0.8922158881953027,0.174997087487787,359525458104369,7.46437566890495e-39,6368,0.63,0.12,6352,0.23,17_2_21,DB,-1,-1
KC435,435,Kaga/Cab_F2,24800,-0.0024818127206435174,0.0558188608633283,108674757162781,2.6482216992657e-53,6356,1.65,0.31,6367,2.87,17_2_21,DB,-1,-1
KC436,436,Kaga/Cab_F2,27464,-0.20240008699549922,0.122585317281396,489746638976545,1.30259556136226e-42,6165,0.97,0.18,6201,1.43,17_2_21,DB,0,0
KC437,437,Kaga/Cab_F2,24686,0.39073970002630315,0.545911515780718,10539007423233,6.04653848742592e-24,6014,2.06,0.38,602,3.24,18_2_21,AU,-1,-1
KC438,438,Kaga/Cab_F2,28318,-0.27079861525228766,0.0849220257745388,642103837294923,6.62750573797098e-46,5559,0.64,0.12,5538,1.12,18_2_21,AU,0,0
KC439,439,Kaga/Cab_F2,29000,0.9359702867365625,0.364718119316626,164234218783899,2.48665995155733e-29,5982,0.96,0.18,5975,1.51,18_2_21,AU,0,0
KC440,440,Kaga/Cab_F2,26451,-0.29103834619071806,0.539760491943709,100981740672996,1.99425386019857e-23,56,1.65,0.31,5613,2.95,18_2_21,AU,0,0
KC441,441,Kaga/Cab_F2,23935,0.7680927517714262,0.252694794913622,233246711334932,1.357805940464e-35,6014,0.95,0.18,605,0.83,18_2_21,AU,0,0
KC442,442,Kaga/Cab_F2,25321,-0.22398569440177257,0.168270566639847,325301493658276,1.22781268733396e-37,5798,1.89,0.35,5824,3.17,18_2_21,AU,-1,-1
KC443,443,Kaga/Cab_F2,21695,0.1284400021048171,0.160824301396969,351505892854062,1.40362731832211e-38,5881,1.36,0.25,5824,2.71,18_2_21,AU,-1,-1
KC444,444,Kaga/Cab_F2,26225,1.2986934316698835,0.1927879323008,32113232422148,1.76176695900062e-37,6364,1.1,0.2,6322,1.81,18_2_21,AU,0,0
KC445,445,Kaga/Cab_F2,19544,-0.4438101922289813,0.391594147923065,135736827039815,5.13140128761718e-27,5548,1.67,0.31,5523,1.44,18_2_21,AU,0,0
KC446,446,Kaga/Cab_F2,26223,-1.0933135744328004,0.11914228134277,495877696264923,9.19473790669317e-43,6007,0.64,0.12,602,1.5,23_3_21,AU,0,0
KC447,447,Kaga/Cab_F2,23288,0.030810784339838748,0.0860614860575285,651290037779261,4.45271127729403e-46,5759,0.9,0.17,5749,1.73,23_3_21,AU,-1,0
KC448,448,Kaga/Cab_F2,20337,-0.7294638354641371,0.13238032828263,419866702818233,9.69712650122779e-41,5595,0.41,0.08,5568,0.3,23_3_21,AU,0,0
KC449,449,Kaga/Cab_F2,NA,-0.13825509978256176,0.151109113090754,364920900105479,4.91922125195321e-39,5436,0.6,0.11,5447,0.53,23_3_21,AU,0,0
KC450,450,Kaga/Cab_F2,20969,0.5730312360796119,0.113830772108629,511801690614898,3.79507526804655e-43,6173,1.99,0.37,6156,3.85,23_3_21,AU,0,0
KC451,451,Kaga/Cab_F2,26332,0.5277520955531877,0.21933726901941,264842014298949,3.87898585269803e-35,5885,0.72,0.13,5884,1.36,23_3_21,AU,0,0
KC452,452,Kaga/Cab_F2,23987,-0.16449658760024485,0.269921555191581,204040549816947,5.73698264206417e-32,5755,1.57,0.29,5703,3.17,23_3_21,AU,0,0
KC453,453,Kaga/Cab_F2,22242,-0.11210848875710488,0.09631333086788,574747665459739,1.47515096177912e-44,5782,1.42,0.26,5749,2.26,23_3_21,AU,0,0
KC454,454,Kaga/Cab_F2,27079,-0.02107928899845032,0.171308373401941,326303406173683,1.12653905742652e-37,574,0.96,0.18,5749,0.83,23_3_21,AU,0,0
KC455,455,Kaga/Cab_F2,27535,-0.790055302103535,0.352637352965778,175579811608921,3.83771441968068e-30,5989,1.48,0.27,602,2.57,23_3_21,AU,0,0
KC456,456,Kaga/Cab_F2,23962,-0.6390778674484378,0.224605150674382,258487741650626,7.65447686794079e-35,5887,0.75,0.14,5884,1.14,25_3_21,DB,0,0
KC457,457,Kaga/Cab_F2,28408,-0.579315605424561,0.218687033382318,26617358945976,3.37097391359725e-35,6155,1.98,0.37,6246,3.17,25_3_21,DB,-1,-1
KC458,458,Kaga/Cab_F2,21157,0.15699660371596136,0.244875261618841,250953572985799,1.75173899168536e-34,6606,2.69,0.5,6668,5.34,25_3_21,DB,-1,0
KC459,459,Kaga/Cab_F2,23064,1.5432411468973892,0.215415371301751,308403908817048,5.46525237531339e-37,6713,0.69,0.13,6714,0.91,25_3_21,DB,-1,0
KC460,460,Kaga/Cab_F2,25197,-1.0514122175555833,0.547416464831372,110661801107286,1.54645360787433e-24,6251,1.81,0.34,6201,0.6,25_3_21,DB,-1,-1
KC461,461,Kaga/Cab_F2,26677,-0.48772791792890535,0.33679525338592,174212122950326,4.77619820162919e-30,6172,1.94,0.36,6276,2.57,25_3_21,DB,-1,-1
KC462,462,Kaga/Cab_F2,27533,-0.08199150926664686,0.22290135733326,271204652051937,1.99590506513176e-35,6206,1.08,0.2,6231,2.11,25_3_21,DB,-1,-1
KC463,463,Kaga/Cab_F2,28517,-0.3153772374626603,0.127986794863772,464535531625635,5.72010285639191e-42,6051,0.69,0.13,602,1.21,25_3_21,DB,0,0
KC464,464,Kaga/Cab_F2,24216,-0.11191463921698813,0.241809776697777,249869630439907,1.97735267507882e-34,5944,0.85,0.16,593,1.21,25_3_21,DB,-1,-1
KC465,465,Kaga/Cab_F2,NA,0.5970184695991737,0.205191840687513,307904515312037,5.71888622532157e-37,669,2.18,0.41,6638,4.14,25_3_21,DB,-1,0
KC466,466,Kaga/Cab_F2,23868,-1.2218028826030995,0.225604118123744,255209737725228,1.09407670820169e-34,6036,1.69,0.31,5945,3.24,30_3_21,DB,-1,0
KC467,467,Kaga/Cab_F2,24848,-0.6149104497364645,0.152586252916649,380730732628995,1.50058057191514e-39,6017,1.25,0.23,5975,1.43,30_3_21,DB,0,0
KC468,468,Kaga/Cab_F2,31252,-0.8067648388985262,0.48783245029427,114582067144149,5.84667587432968e-25,5869,2.04,0.38,5824,3.84,30_3_21,DB,0,0
KC469,469,Kaga/Cab_F2,NA,-0.2533471031357998,0.127253613239066,469842930227782,2.95308727932837e-24,6311,1.89,0.43,6291,3.46,30_3_21,DB,-1,0
KC470,470,Kaga/Cab_F2,24358,-1.2011243461412469,0.0447866381584991,13057953513072,1.54916207022885e-54,6039,1.09,0.2,605,1.51,30_3_21,DB,NA,0
KC471,471,Kaga/Cab_F2,30409,-0.9529921276367628,0.221427748554578,276615592291022,1.14815338638019e-35,6307,1.18,0.22,6367,2.41,30_3_21,DB,0,0
KC472,472,Kaga/Cab_F2,25620,0.657450811543541,0.234188583694791,270348484698746,2.18059572106616e-35,6417,0.78,0.15,6442,0.9,30_3_21,DB,NA,0
KC473,473,Kaga/Cab_F2,21704,0.12691218677258922,0.108206013958068,56633009199311,2.22963470421168e-44,6315,1.1,0.2,6291,1.36,30_3_21,DB,NA,0
KC474,474,Kaga/Cab_F2,26438,-0.9847386242866971,0.113672330462582,535276189961217,1.08128560077233e-43,6341,1.48,0.28,6306,2.63,30_3_21,DB,-1,0
KC475,475,Kaga/Cab_F2,21951,-0.14193833629381586,0.163600003297102,369027056048208,3.59632147070613e-39,6355,1.85,0.34,6306,2.94,30_3_21,DB,-1,0
KC476,476,Kaga/Cab_F2,NA,0.7863146560092678,0.803372028881663,796022609525995,1.52360021382951e-20,6479,2.16,0.4,6472,3.23,1_4_21,DB,-1,-1
KC477,477,Kaga/Cab_F2,NA,-0.41084237513239263,0.186707268580603,316049359472064,2.75366914262342e-37,6113,1.3,0.24,608,1.43,1_4_21,DB,-1,-1
KC478,478,Kaga/Cab_F2,NA,0.4821449637889802,0.148455720587575,423255428665721,7.7429611294221e-42,6598,1.83,0.34,6563,2.27,1_4_21,DB,-1,-1
KC479,479,Kaga/Cab_F2,18233,-1.2648067975569064,0.373695405975834,144838655665425,8.35779239716817e-28,6394,5.66,1.05,6503,8.37,1_4_21,DB,-1,-1
KC480,480,Kaga/Cab_F2,22104,-0.33631457074008747,0.256430058140383,230903409460012,1.80119679556071e-33,6016,0.86,0.16,6005,1.35,5_4_21,DB,0,0
KC481,481,Kaga/Cab_F2,20090,-0.13191755265554383,0.149449354986604,404095374709792,2.8323070044065e-41,6196,0.97,0.18,6201,0.52,5_4_21,DB,0,0
KC482,482,Kaga/Cab_F2,20348,-1.1809470407966425,0.11589894617191,506285087001063,5.14032878246313e-43,6114,1.43,0.27,6095,1.73,5_4_21,DB,-1,0
KC484,484,Kaga/Cab_F2,21180,-0.7139670981979779,0.496227018178858,115451839058128,4.7330283874497e-26,6159,2.77,0.51,602,5.89,5_4_21,DB,-1,-1
KC485,485,Kaga/Cab_F2,22302,-0.5329626925342974,0.0746978406943314,783445071884853,2.52457965781288e-48,6122,1.54,0.29,6095,2.56,5_4_21,DB,-1,-1
KC486,486,Kaga/Cab_F2,22300,-0.27390397619599505,0.384236735770614,155433090822243,1.1605699295343e-29,5905,1.08,0.2,5914,2.04,5_4_21,DB,0,0
KC487,487,Kaga/Cab_F2,23156,0.8416212335729144,0.549627230263824,116792177288465,3.42814433013997e-25,6519,1.55,0.29,6518,2.56,5_4_21,DB,-1,-1
KC488,488,Kaga/Cab_F2,22453,0.44739138249865196,0.195984718837518,295040361523234,1.88854077455436e-36,5993,1.3,0.24,5945,2.64,7_4_21,AU,0,0
KC489,489,Kaga/Cab_F2,22198,-0.45097831975616326,0.23102180285068,230050635861539,1.99770642203756e-33,5513,1.28,0.24,5568,1.96,7_4_21,AU,-1,-1
KC490,490,Kaga/Cab_F2,22480,-0.46538484344513903,0.186704152729694,283546137594242,5.74361759809457e-36,5499,1.27,0.24,5447,2.34,7_4_21,AU,NA,0
KC491,491,Kaga/Cab_F2,NA,0.6195172233299703,0.175050587271745,3334888856827,6.12264274586504e-38,5936,0.72,0.13,5899,1.13,7_4_21,AU,-1,0
