LANE	POOL	fq1	fq2
5113	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5113_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5113_2_sequence.txt.gz
5114	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5114_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5114_2_sequence.txt.gz
5115	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5115_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5115_2_sequence.txt.gz
5116	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5116_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5116_2_sequence.txt.gz
5117	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5117_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5117_2_sequence.txt.gz
5118	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5118_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5118_2_sequence.txt.gz
5119	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5119_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5119_2_sequence.txt.gz
5120	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5120_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5120_2_sequence.txt.gz
5122	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5122_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5122_2_sequence.txt.gz
5123	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5123_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5123_2_sequence.txt.gz
5124	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5124_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5124_2_sequence.txt.gz
5125	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5125_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5125_2_sequence.txt.gz
5126	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5126_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5126_2_sequence.txt.gz
5127	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5127_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5127_2_sequence.txt.gz
5128	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5128_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5128_2_sequence.txt.gz
5129	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5129_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5129_2_sequence.txt.gz
6130	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6130_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6130_2_sequence.txt.gz
