fish,strain,intercept,mean,sd,sem,Date_of_imaging,Microscope,unsegmented_psm_area,reporter_pheno
KC210,Kaga/Cab_F2,58.23491954,60.18,1.39,0.26,9_1_21,AU,15986,0
KC211,Kaga/Cab_F2,64.82834483,67.03,1.45,0.27,9_1_21,AU,20483,0
KC212,Kaga/Cab_F2,57.88167816,61.08,1.88,0.35,9_1_21,AU,21846,0
KC213,Kaga/Cab_F2,56.33908046,62.72,3.65,0.68,9_1_21,AU,23146,0
KC214,Kaga/Cab_F2,56.57186207,59.33,1.59,0.3,9_1_21,AU,24100,0
KC215,Kaga/Cab_F2,69.28052874,67.18,1.46,0.27,9_1_21,AU,27399,-1
KC216,Kaga/Cab_F2,58.61712644,60.92,1.39,0.26,9_1_21,AU,24640,0
KC217,Kaga/Cab_F2,60.28370115,62.87,1.52,0.28,9_1_21,AU,24994,0
KC218,Kaga/Cab_F2,62.91970115,65.83,1.67,0.31,9_1_21,AU,22974,0
KC219,Kaga/Cab_F2,56.97057471,61.02,2.36,0.44,9_1_21,AU,20000,0
KC227,Kaga/Cab_F2,54.9131954,59.83,3.3,0.61,10_1_21,AU,26886,-1
KC228,Kaga/Cab_F2,51.15636782,57.98,4.42,0.82,10_1_21,AU,23144,0
KC229,Kaga/Cab_F2,55.91933333,57.14,0.78,0.14,10_1_21,AU,22606,-1
KC230,Kaga/Cab_F2,59.19604598,64.01,2.76,0.51,10_1_21,AU,27809,-1
KC231,Kaga/Cab_F2,57.55052874,59.73,1.28,0.24,10_1_21,AU,21789,0
KC242,Kaga/Cab_F2,60.52786207,61.08,0.55,0.1,12_1_21,AU,23636,0
KC243,Kaga/Cab_F2,58.71843678,60.35,0.94,0.17,12_1_21,AU,21616,-1
KC244,Kaga/Cab_F2,54.0851954,57.63,2.05,0.38,12_1_21,AU,19445,-1
KC245,Kaga/Cab_F2,58.75278161,61.69,2.35,0.44,12_1_21,AU,26459,0
KC246,Kaga/Cab_F2,49.83328736,56.78,4.04,0.75,12_1_21,AU,29771,0
KC247,Kaga/Cab_F2,58.83452874,60.63,1.23,0.23,12_1_21,AU,28513,-1
KC248,Kaga/Cab_F2,54.2436092,57.43,2.04,0.38,12_1_21,AU,25430,0
KC249,Kaga/Cab_F2,55.11370115,56.64,0.93,0.17,12_1_21,AU,25139,0
KC250,Kaga/Cab_F2,55.91151724,59.67,2.32,0.43,12_1_21,AU,31378,0
KC251,Kaga/Cab_F2,55.75103448,55.81,0.22,0.04,13_1_21,AU,26974,0
KC252,Kaga/Cab_F2,60.39924138,65.63,3.76,0.7,13_1_21,AU,27960,-1
KC253,Kaga/Cab_F2,58.81209195,64.25,3.17,0.59,13_1_21,AU,26317,0
KC254,Kaga/Cab_F2,55.99832184,59.7,2.14,0.4,13_1_21,AU,25275,0
KC255,Kaga/Cab_F2,59.73547126,66.45,3.82,0.71,13_1_21,AU,24054,0
KC256,Kaga/Cab_F2,66.43832184,68.35,1.55,0.29,13_1_21,AU,24659,-1
KC257,Kaga/Cab_F2,55.78317241,64.21,5.19,0.96,13_1_21,AU,26474,0
KC258,Kaga/Cab_F2,57.48793103,58.71,0.89,0.16,13_1_21,AU,24762,0
KC259,Kaga/Cab_F2,55.90650575,70.31,8.62,1.6,20_1_21,AU,26428,0
KC260,Kaga/Cab_F2,68.7483,65.48,2.12,0.43,20_1_21,AU,30675,0
KC261,Kaga/Cab_F2,54.5748046,59.55,2.84,0.53,20_1_21,AU,27135,0
KC262,Kaga/Cab_F2,58.78567816,64.18,3.28,0.61,20_1_21,AU,24343,-1
KC263,Kaga/Cab_F2,59.13937931,59.91,1.14,0.21,20_1_21,AU,25319,0
KC264,Kaga/Cab_F2,50.80514943,56.29,3.16,0.59,20_1_21,AU,28829,-1
KC265,Kaga/Cab_F2,57.53363218,68.34,6.42,1.19,20_1_21,AU,25455,0
KC266,Kaga/Cab_F2,57.5234023,63.04,3.28,0.61,20_1_21,AU,#N/A,0
KC267,Kaga/Cab_F2,54.62931034,63.48,5.05,0.94,20_1_21,AU,24297,-1
KC268,Kaga/Cab_F2,67.45402299,75.91,5.14,0.95,20_1_21,AU,27543,0
KC269,Kaga/Cab_F2,58.14698851,62.77,2.66,0.49,21_1_21,AU,29249,0
KC270,Kaga/Cab_F2,54.46622989,57.93,2,0.37,21_1_21,AU,23449,0
KC271,Kaga/Cab_F2,56.33533333,58.37,1.26,0.23,21_1_21,AU,25143,-1
KC272,Kaga/Cab_F2,54.39694253,56.24,1.1,0.2,21_1_21,AU,26074,0
KC273,Kaga/Cab_F2,53.44503448,56.57,1.78,0.33,21_1_21,AU,24603,0
KC274,Kaga/Cab_F2,63.27549425,69.8,3.97,0.74,21_1_21,AU,28975,-1
KC275,Kaga/Cab_F2,54.99751724,58.79,2.21,0.41,21_1_21,AU,24404,0
KC276,Kaga/Cab_F2,57.17377011,61.87,2.73,0.51,21_1_21,AU,28042,-1
KC277,Kaga/Cab_F2,61.42034483,65.79,2.49,0.46,21_1_21,AU,22062,0
KC279,Kaga/Cab_F2,53.94904762,56.11,1.24,0.24,21_1_21,AU,24059,0
KC280,Kaga/Cab_F2,55.63045977,56.32,0.66,0.12,27_1_21,AU,29383,-1
KC281,Kaga/Cab_F2,51.31689655,52.67,1.24,0.23,27_1_21,AU,24994,0
KC282,Kaga/Cab_F2,56.50813793,57.86,0.84,0.16,27_1_21,AU,25934,0
KC283,Kaga/Cab_F2,58.58372414,59.23,1.18,0.22,27_1_21,AU,23138,-1
KC284,Kaga/Cab_F2,55.40425287,56.17,0.48,0.09,27_1_21,AU,25063,-1
KC285,Kaga/Cab_F2,57.09048276,59.08,1.54,0.29,27_1_21,AU,25735,-1
KC286,Kaga/Cab_F2,56.79213793,57.76,0.82,0.15,27_1_21,AU,27594,0
KC287,Kaga/Cab_F2,57.91756322,60.49,1.51,0.28,27_1_21,AU,23550,0
KC288,Kaga/Cab_F2,53.80291954,56.19,1.63,0.3,27_1_21,AU,26453,0
KC289,Kaga/Cab_F2,61.94383908,62.93,0.69,0.13,27_1_21,AU,25582,0
KC290,Kaga/Cab_F2,52.7396092,55.24,1.49,0.28,28_1_21,AU,23336,-1
KC291,Kaga/Cab_F2,56.78105747,59.93,1.82,0.34,28_1_21,AU,22099,0
KC292,Kaga/Cab_F2,54.17448276,57.82,2.22,0.41,28_1_21,AU,25982,-1
KC293,Kaga/Cab_F2,58.31337931,59.57,0.97,0.18,28_1_21,AU,24132,-1
KC294,Kaga/Cab_F2,57.662,60.79,1.81,0.34,28_1_21,AU,21746,0
KC295,Kaga/Cab_F2,55.90052874,59.42,2.03,0.38,28_1_21,AU,23378,0
KC296,Kaga/Cab_F2,56.21866667,58.53,1.37,0.25,28_1_21,AU,24027,0
KC297,Kaga/Cab_F2,55.35508046,56.73,1.13,0.21,28_1_21,AU,27994,-1
KC298,Kaga/Cab_F2,58.12505747,62.61,2.75,0.51,28_1_21,AU,20934,0
KC299,Kaga/Cab_F2,66.45089655,70.41,2.32,0.43,28_1_21,AU,23464,-1
KC310,Kaga/Cab_F2,58.17705747,60.75,1.47,0.27,29_1_21,AU,28921,0
KC311,Kaga/Cab_F2,57.32395402,59.78,1.4,0.26,29_1_21,AU,24408,-1
KC312,Kaga/Cab_F2,58.398,65.9,4.31,0.8,29_1_21,AU,24297,0
KC313,Kaga/Cab_F2,55.25317241,59.16,2.28,0.42,29_1_21,AU,26683,0
KC314,Kaga/Cab_F2,61.11986207,65.98,2.76,0.51,29_1_21,AU,26451,0
KC315,Kaga/Cab_F2,58.32291954,61.06,1.57,0.29,29_1_21,AU,25932,0
KC316,Kaga/Cab_F2,61.83268966,62.62,0.68,0.13,29_1_21,AU,24890,-1
KC317,Kaga/Cab_F2,59.52806897,62.06,1.49,0.28,29_1_21,AU,22788,-1
KC318,Kaga/Cab_F2,63.53983908,64.46,1.99,0.37,29_1_21,AU,23138,-1
KC327,Kaga/Cab_F2,51.46648276,56.68,3.02,0.56,30_1_21,AU,26918,0
KC328,Kaga/Cab_F2,51.57972414,55.82,2.56,0.48,30_1_21,AU,25017,-1
KC329,Kaga/Cab_F2,64.82843678,68.17,2.04,0.38,30_1_21,AU,30250,-1
KC330,Kaga/Cab_F2,53.62947126,54.78,0.78,0.14,30_1_21,AU,26541,-1
KC331,Kaga/Cab_F2,59.46521839,61.7,1.4,0.26,30_1_21,AU,26344,0
KC332,Kaga/Cab_F2,62.48232184,68.44,4.13,0.77,30_1_21,AU,26011,-1
KC333,Kaga/Cab_F2,56.49478161,60.05,2.03,0.38,30_1_21,AU,27447,0
KC334,Kaga/Cab_F2,55.97652874,58.83,1.9,0.35,30_1_21,AU,27355,-1
KC335,Kaga/Cab_F2,58.86652874,62.48,2.12,0.39,30_1_21,AU,26202,-1
KC336,Kaga/Cab_F2,55.00744828,58.77,2.22,0.41,30_1_21,AU,25314,-1
KC347,Kaga/Cab_F2,58.43068966,70.79,7.08,1.32,31_1_21,AU,30057,0
KC348,Kaga/Cab_F2,56.94266667,60.83,2.26,0.42,31_1_21,AU,23617,-1
KC349,Kaga/Cab_F2,57.1074023,58.79,1.02,0.19,31_1_21,AU,23424,-1
KC350,Kaga/Cab_F2,63.92006897,61.02,2.32,0.43,31_1_21,AU,25396,-1
KC351,Kaga/Cab_F2,56.27409195,57.58,0.95,0.18,31_1_21,AU,26805,0
KC361,Kaga/Cab_F2,54.48006897,56.52,1.17,0.22,31_1_21,AU,25385,0
KC362,Kaga/Cab_F2,61.36163218,63.61,1.6,0.3,1_2_21,AU,26719,0
KC363,Kaga/Cab_F2,56.61655172,59.25,1.5,0.28,1_2_21,AU,27234,0
KC364,Kaga/Cab_F2,58.35275862,61.34,1.84,0.34,1_2_21,AU,23962,0
KC365,Kaga/Cab_F2,60.31216092,66.61,3.6,0.67,1_2_21,AU,24460,0
KC366,Kaga/Cab_F2,60.57721839,62.73,1.35,0.25,1_2_21,AU,23807,-1
KC367,Kaga/Cab_F2,57.01204598,64.21,4.13,0.77,1_2_21,AU,30828,0
KC368,Kaga/Cab_F2,62.31751724,65.66,1.99,0.37,1_2_21,AU,32312,-1
