fish,strain,intercept,mean,sd,sem,Date_of_imaging,Microscope,unsegmented_psm_area,reporter_pheno
KC518,Kaga/Cab_F2,56.35372414,60.18,1.94,0.36,14_4_21,DB,28657,0
KC519,Kaga/Cab_F2,55.10365517,59.58,2.29,0.43,14_4_21,DB,28596,0
KC520,Kaga/Cab_F2,61.64137931,66.47,2.54,0.47,14_4_21,DB,23968,0
KC521,Kaga/Cab_F2,55.16933333,57.28,0.94,0.18,17_4_21,DB,26129,0
KC522,Kaga/Cab_F2,51.05478161,55.35,2.61,0.49,17_4_21,DB,22719,-1
KC523,Kaga/Cab_F2,55.04380952,56.25,0.62,0.12,17_4_21,DB,29258,0
KC524,Kaga/Cab_F2,54.26942529,56.57,1.03,0.19,18_4_21,DB,25731,0
KC525,Kaga/Cab_F2,58.25783908,61.87,1.79,0.33,18_4_21,DB,27353,0
KC526,Kaga/Cab_F2,58.25494253,58.43,0.6,0.11,18_4_21,DB,21890,-1
KC527,Kaga/Cab_F2,57.63770115,58.8,0.4,0.07,18_4_21,DB,21781,0
KC528,Kaga/Cab_F2,61.34163218,61.81,0.47,0.09,18_4_21,DB,22951,0
KC529,Kaga/Cab_F2,56.4237931,59.18,1.55,0.29,18_4_21,DB,19238,0
KC530,Kaga/Cab_F2,56.03609195,59.81,1.95,0.36,18_4_21,DB,28251,0
KC531,Kaga/Cab_F2,63.72494253,62.71,1.06,0.2,18_4_21,DB,21593,-1
KC566,Kaga/Cab_F2,57.55947126,59.59,0.9,0.17,15_7_21,DB,21777,0
KC567,Kaga/Cab_F2,60.81542529,63.99,1.54,0.29,15_7_21,DB,22970,-1
KC569,Kaga/Cab_F2,59.16609231,60.51,0.69,0.14,15_7_21,DB,21635,-1
KC570,Kaga/Cab_F2,63.8602069,66.75,1.39,0.26,15_7_21,DB,19293,0
KC571,Kaga/Cab_F2,62.55174713,63.69,0.4,0.07,15_7_21,DB,23483,-1
KC572,Kaga/Cab_F2,60.14022989,61.11,0.52,0.1,15_7_21,DB,21281,0
KC573,Kaga/Cab_F2,60.76643678,62.7,0.86,0.16,15_7_21,DB,24977,-1
KC574,Kaga/Cab_F2,57.61064368,60.69,1.66,0.31,15_7_21,DB,23996,-1
KC575,Kaga/Cab_F2,54.79850575,58.72,1.96,0.36,15_7_21,DB,22225,0
KC583,Kaga/Cab_F2,56.08222989,59,1.38,0.26,16_7_21,DB,22141,0
KC584,Kaga/Cab_F2,58.84448276,60.3,0.91,0.17,16_7_21,DB,23115,0
KC585,Kaga/Cab_F2,57.35236782,58.73,2.05,0.38,16_7_21,DB,21446,-1
KC587,Kaga/Cab_F2,56.3888046,61.61,2.83,0.53,16_7_21,DB,20950,-1
KC588,Kaga/Cab_F2,59.75034483,61.55,0.79,0.15,16_7_21,DB,23805,-1
KC589,Kaga/Cab_F2,55.7271954,58.28,1.2,0.22,16_7_21,DB,23770,0
KC590,Kaga/Cab_F2,58.9997931,60.32,0.54,0.1,16_7_21,DB,21363,-1
KC591,Kaga/Cab_F2,55.97542529,57.38,1.51,0.28,16_7_21,DB,25337,-1
KC601,Kaga/Cab_F2,53.94126984,61.06,4.04,0.78,21_7_21,DB,23975,0
KC602,Kaga/Cab_F2,53.90248276,59.5,2.95,0.55,21_7_21,DB,22093,-1
KC603,Kaga/Cab_F2,54.04264368,58.53,2.83,0.53,21_7_21,DB,21831,-1
KC604,Kaga/Cab_F2,54.79806897,59.65,2.74,0.51,21_7_21,DB,28377,-1
KC605,Kaga/Cab_F2,59.24708046,64.77,2.88,0.54,21_7_21,DB,24450,-1
KC606,Kaga/Cab_F2,56.18834483,60.55,2.28,0.42,21_7_21,DB,25963,0
KC607,Kaga/Cab_F2,57.71990805,61.16,1.71,0.32,21_7_21,DB,21375,0
KC608,Kaga/Cab_F2,59.48110345,59.35,1.37,0.25,21_7_21,DB,29953,-1
KC609,Kaga/Cab_F2,60.39521839,64.55,2.18,0.4,21_7_21,DB,27497,-1
KC610,Kaga/Cab_F2,66.84862069,65.81,0.95,0.18,22_7_21,DB,23043,-1
KC611,Kaga/Cab_F2,61.2882069,62.6,0.59,0.11,22_7_21,DB,24776,0
KC612,Kaga/Cab_F2,59.98609195,62.02,1.1,0.2,22_7_21,DB,19630,-1
KC614,Kaga/Cab_F2,61.61464368,63.85,1.03,0.19,22_7_21,DB,25293,-1
KC615,Kaga/Cab_F2,59.83668966,60.85,0.76,0.14,22_7_21,DB,25009,-1
KC616,Kaga/Cab_F2,60.6162069,63.43,1.36,0.25,22_7_21,DB,26122,-1
KC617,Kaga/Cab_F2,58.9074023,59.76,0.41,0.08,22_7_21,DB,22665,-1
KC618,Kaga/Cab_F2,61.08117241,61.57,0.39,0.07,22_7_21,DB,22886,-1
KC619,Kaga/Cab_F2,61.3377931,61.87,0.57,0.11,22_7_21,DB,22792,-1
KC620,Kaga/Cab_F2,63.93649231,61.59,1.67,0.33,23_8_21,DB,25182,-1
KC621,Kaga/Cab_F2,55.7,64.79,5.26,0.99,23_8_21,DB,25337,-1
KC622,Kaga/Cab_F2,60.84852874,62.18,0.6,0.11,23_8_21,DB,23588,0
KC623,Kaga/Cab_F2,57.11855172,61.1,1.99,0.37,23_8_21,DB,22053,-1
KC624,Kaga/Cab_F2,58.08666667,61.08,1.56,0.29,23_8_21,DB,23104,-1
KC625,Kaga/Cab_F2,54.8611954,57.81,1.44,0.27,23_8_21,DB,22476,-1
KC626,Kaga/Cab_F2,57.84931034,58.55,0.32,0.06,23_8_21,DB,23027,0
KC627,Kaga/Cab_F2,60.58349425,59.91,1.88,0.35,23_8_21,DB,22028,-1
KC628,Kaga/Cab_F2,55.85004598,58.38,1.18,0.22,23_8_21,DB,25932,0
KC629,Kaga/Cab_F2,62.48671264,64.97,1.18,0.22,23_8_21,DB,26242,0
KC640,Kaga/Cab_F2,58.56710345,60.14,1.25,0.23,28_8_21,DB,25379,-1
KC641,Kaga/Cab_F2,57.91491954,61.86,2.13,0.4,28_8_21,DB,24350,0
KC642,Kaga/Cab_F2,56.8091954,59.95,1.88,0.35,28_8_21,DB,24530,0
KC643,Kaga/Cab_F2,57.48013793,60.74,1.57,0.29,28_8_21,DB,24921,0
KC644,Kaga/Cab_F2,56.9363908,61.67,2.48,0.46,28_8_21,DB,25356,-1
KC645,Kaga/Cab_F2,56.58098851,58.69,1.03,0.19,28_8_21,DB,24077,-1
KC647,Kaga/Cab_F2,57.66285057,60.39,1.27,0.24,28_8_21,DB,25099,-1
KC648,Kaga/Cab_F2,59.56489655,65.17,3,0.56,28_8_21,DB,25884,0
